기준일자,격자_250,개인법인구분,성별,연령대,업종대분류,카드이용금액계,카드이용건수계
20230101,다사44aa47aa,개인,남,60_69세,제과점,332649,16
20230101,다사57aa54aa,개인,남,60_69세,편의점,98780,16
20230101,다사46ab48bb,개인,남,20_29세,기타요식,190619,27
20230101,다사62bb48ab,개인,남,30_39세,편의점,213579,37
20230101,다사52ab49aa,개인,여,30_39세,슈퍼마켓일반형,531384,64
20230101,다사71bb50aa,개인,남,30_39세,편의점,974025,96
20230101,다사47bb56ab,개인,남,30_39세,편의점,198628,37
20230101,다사59ba56aa,개인,여,50_59세,커피전문점,101450,21
20230101,다사46aa45ba,개인,남,30_39세,편의점,240276,64
20230101,다사44bb47bb,개인,남,70세이상,한식,2937773,37
20230101,다사60ba65ab,개인,여,60_69세,제과점,363671,16
20230101,다사66ab48ab,개인,여,20_29세,대형마트,208826,32
20230101,다사41ab50ba,법인,,,일식,45385,5
20230101,다사47ba46bb,개인,남,20_29세,유흥업소,1083911,21
20230101,다사45ba48ab,개인,여,40_49세,슈퍼마켓일반형,470300,64
20230101,다사48ba44ba,법인,,,패스트푸드,347065,37
20230101,다사48ba51ab,개인,남,20_29세,편의점,300879,43
20230101,다사49aa43ab,개인,남,50_59세,편의점,404197,21
20230101,다사43aa44ab,개인,여,40_49세,할인점/슈퍼마켓/양판점,3219110,85
20230101,다사40bb50bb,개인,여,40_49세,기타식품,145767,16
20230101,다사54ba51ab,개인,남,20_29세,커피전문점,434632,43
20230101,다사61aa61ba,개인,남,20_29세,기타요식,175134,32
20230101,다사48ab44ab,개인,여,30_39세,편의점,440025,43
20230101,다사48aa54bb,개인,남,40_49세,편의점,184745,37
20230101,다사58ab47ab,개인,여,40_49세,학원/학습지,27121811,85
20230101,다사59ba42aa,법인,,,안마/마사지,3203679,5
20230101,다사54bb52ab,개인,남,30_39세,생활잡화/수입상품점,839898,53
20230101,다사65aa41bb,법인,,,주유소,635396,11
20230101,다사48ba55aa,개인,남,30_39세,기타요식,226927,27
20230101,다사58ab48aa,개인,남,60_69세,기타요식,167125,16
20230101,다사56ba54ab,개인,여,50_59세,기타요식,397790,27
20230101,다사68ab43ab,개인,남,60_69세,기타식품,330513,16
20230101,다사56ab45aa,개인,남,20_29세,한식,936702,48
20230101,다사49ab43ab,개인,여,50_59세,한식,2616338,27
20230101,다사62aa36bb,개인,남,60_69세,한식,2803219,32
20230101,다사45ab42aa,개인,남,50_59세,결제대행(PG),17563155,155
20230101,다사63ab55ab,개인,여,50_59세,커피전문점,176202,32
20230101,다사61ab62bb,개인,남,30_39세,커피전문점,91305,16
20230101,다사66aa46bb,개인,여,30_39세,스포츠시설,325707,48
20230101,다사55ba47ba,법인,,,한식,485891,5
20230101,다사48bb45ab,개인,남,60_69세,할인점/슈퍼마켓/양판점,1292951,53
20230101,다사66bb42aa,개인,여,20세미만,할인점/슈퍼마켓/양판점,357210,27
20230101,다사49ba53ab,개인,남,20_29세,편의점,191687,37
20230101,다사49aa50aa,개인,남,40_49세,ZZ_나머지,496565,27
20230101,다사45bb43bb,개인,남,50_59세,편의점,394586,59
20230101,다사53bb42bb,개인,여,50_59세,한식,965375,27
20230101,다사56aa57ba,개인,여,20_29세,편의점,75820,27
20230101,다사55ba54ab,개인,여,20_29세,영화/공연,603360,32
20230101,다사67ba48bb,개인,남,30_39세,편의점,387111,75
20230101,다사58ba60bb,개인,남,20_29세,게임방/오락실,925863,96
20230101,다사51ba44ba,개인,여,20_29세,편의점,111061,32
20230101,다사57bb45aa,개인,남,30_39세,약국,1230747,123
20230101,다사64ba46ba,개인,여,40_49세,커피전문점,103586,37
20230101,다사55aa48ba,개인,여,20_29세,ZZ_나머지,288331,27
20230101,다사40aa42ba,개인,여,30_39세,농수산물,120672,16
